PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.1267276,1.8784531,2084.9785,4.736401e-14,4.8990854e-14,3.7639e-14,0.0,6.389583,170.25885,0.2507267,2.1316292,1.206956e-12,2.056351,1.8394364e-10,7.125673,0.6666667,4FGL J0006.4+0135,3FGL J0006.2+0135,bll,NVSS J000626+013611
2.3892572,2.3713357,1199.5168,1.1765068e-13,1.2143986e-13,1.1274801e-13,0.48748028,22.026712,454.34628,0.05335334,0.6190282,1.6368974e-12,0.0,1.2517568e-10,7.211533,0.6666667,4FGL J0006.4-5621,,bll,PKS 0003-56
2.5297203,2.4467833,888.94543,3.2650198e-13,3.1519852e-13,2.0953741e-13,0.0,10.770041,367.47714,0.4040833,2.9850948,1.1691719e-12,3.109841,1.2316427e-10,5.705449,0.6666667,4FGL J0007.5-5247,,bcu,PMN J0008-5243
2.1295846,2.0406518,2095.9404,1.0347215e-13,1.0475824e-13,9.434808e-14,0.40840542,32.145878,848.04944,0.082147166,1.704448,4.4952176e-12,1.9197227,4.0171685e-10,16.365044,0.6666667,4FGL J0007.7+4008,3FGL J0007.9+4006,bcu,NVSS J000741+400830
2.0390635,1.8980258,1430.0842,1.0265299e-12,1.0624387e-12,9.802645e-13,0.0,8.622466,3068.6738,0.08964169,5.4858456,1.8127387e-11,5.930168,2.0813726e-09,56.51904,0.6666667,4FGL J0008.0+4711,3FGL J0008.0+4713,bll,MG4 J000800+4712
2.677274,2.6970685,767.1138,4.629393e-13,4.5831687e-13,3.821957e-13,0.43575424,19.712507,652.9621,0.14806667,1.6725674,2.0951823e-12,1.6023003,1.12059355e-10,5.9461904,0.6666667,4FGL J0008.0-3937,,bcu,PMN J0008-3945
1.8102539,1.6902754,4481.3696,1.2131275e-14,1.222227e-14,1.0123089e-14,0.0,13.541552,242.29048,0.11798864,1.860499,2.2597766e-12,2.1267376,1.8425943e-10,11.07414,0.6666667,4FGL J0008.4-2339,3FGL J0008.6-2340,bll,RBS 0016
2.4570093,2.4489334,1554.3737,8.791327e-13,9.0215915e-13,7.3122747e-13,1.2768945,599.92053,2937.127,0.19312085,6.488504,1.5295433e-11,5.899795,1.6991901e-09,26.44023,0.6666667,4FGL J0008.4+6837,3FGL J0008.5+6853,bcu,TXS 0005+683
2.0722113,1.9059507,1710.9305,1.8825238e-13,1.9553218e-13,1.7131228e-13,0.58037937,51.23293,630.8055,0.1258671,2.848559,4.264141e-12,3.0373697,5.3063104e-10,19.204882,0.6666667,4FGL J0008.4+1455,3FGL J0008.3+1456,bcu,NVSS J000825+145635
2.2194188,2.1980414,1420.2627,2.9720646e-13,3.038242e-13,2.8626605e-13,0.10027631,15.371203,1046.3073,0.038103815,1.1436652,5.889002e-12,0.73409694,5.0970556e-10,18.235521,0.6666667,4FGL J0009.1+0628,3FGL J0009.1+0630,bll,TXS 0006+061
